Head,Tail,Score
1,2,20.947328567504883
1,12,19.953948974609375
1,13,17.4868221282959
10,18,17.42508888244629
10,30,13.076812744140625
10,21,12.8621244430542
100,113,23.70233917236328
100,95,23.488861083984375
100,105,21.57179832458496
101,94,24.300262451171875
101,100,19.458253860473633
101,105,17.61534881591797
102,110,19.11993408203125
102,124,17.237354278564453
102,109,16.40559959411621
103,109,16.89898681640625
103,102,12.341707229614258
103,106,11.453742980957031
104,109,17.989076614379883
104,116,15.683432579040527
104,102,11.682584762573242
105,111,20.010883331298828
105,108,19.547208786010742
105,101,18.645761489868164
106,110,20.988683700561523
106,116,12.812824249267578
106,109,12.665653228759766
107,108,20.580537796020508
107,99,17.70250129699707
107,105,17.194461822509766
108,105,20.324148178100586
108,107,19.51114845275879
108,113,19.00082778930664
109,102,18.46953773498535
109,110,15.539122581481934
109,116,14.724556922912598
11,18,19.93868064880371
11,14,18.16386604309082
11,15,14.940094947814941
110,102,20.50834083557129
110,116,16.865121841430664
110,109,16.592103958129883
111,105,23.500198364257812
111,119,19.374588012695312
111,107,18.690542221069336
112,128,20.475614547729492
112,118,19.72139549255371
112,129,19.50385093688965
113,108,25.109081268310547
113,119,20.911907196044922
113,107,18.232715606689453
114,135,29.64171600341797
114,124,23.031457901000977
114,123,20.98316764831543
115,121,20.361480712890625
115,114,19.992700576782227
115,123,18.81254005432129
116,121,19.534088134765625
116,110,16.827451705932617
116,102,15.209559440612793
117,121,18.005781173706055
117,109,15.188776016235352
117,110,13.777542114257812
118,124,18.823917388916016
118,128,18.466064453125
118,126,18.227581024169922
119,136,19.371374130249023
119,132,19.291332244873047
119,120,16.422225952148438
12,1,26.049291610717773
12,13,21.84527015686035
12,24,20.781373977661133
120,136,18.820053100585938
120,133,17.47982406616211
120,119,16.58361053466797
121,135,16.642501831054688
121,116,15.351204872131348
121,117,15.290311813354492
122,116,21.77195167541504
122,126,18.556610107421875
122,128,17.559993743896484
123,114,21.856210708618164
123,135,19.826740264892578
123,115,19.82373809814453
124,125,18.338232040405273
124,122,17.96861457824707
124,118,16.932615280151367
125,128,21.66506576538086
125,122,20.229448318481445
125,118,18.979711532592773
126,122,17.708969116210938
126,128,17.297433853149414
126,125,13.888381004333496
127,129,27.270349502563477
127,128,20.415016174316406
127,125,20.203311920166016
128,118,25.446163177490234
128,112,23.87502670288086
128,129,22.14352035522461
129,127,27.404611587524414
129,125,23.066938400268555
129,122,18.796655654907227
13,2,24.48752212524414
13,24,19.097118377685547
13,12,18.277162551879883
130,142,20.691133499145508
130,137,17.618101119995117
130,131,17.13365936279297
131,142,20.02235221862793
131,137,16.78632164001465
131,157,15.59475040435791
132,113,18.05303382873535
132,140,17.905485153198242
132,133,12.864709854125977
133,136,27.476877212524414
133,135,25.15627098083496
133,120,19.952056884765625
134,136,20.541858673095703
134,132,20.378862380981445
134,135,16.867107391357422
135,124,22.180776596069336
135,123,18.231948852539062
135,110,13.53199577331543
136,133,26.747705459594727
136,134,23.641807556152344
136,119,16.217021942138672
137,130,20.05104637145996
137,142,18.86863136291504
137,131,17.911178588867188
138,142,22.435728073120117
138,131,14.97932243347168
138,130,13.979866027832031
139,144,20.207305908203125
139,148,18.789819717407227
139,141,14.581701278686523
14,30,21.881656646728516
14,15,16.81419563293457
14,19,15.56760025024414
140,144,18.29753303527832
140,135,17.620641708374023
140,136,13.068985939025879
141,144,19.64611053466797
141,149,14.950035095214844
141,139,13.661028861999512
142,130,22.079744338989258
142,137,20.73094940185547
142,138,20.57139778137207
143,131,18.298704147338867
143,142,17.64094352722168
143,157,16.721256256103516
144,141,22.328350067138672
144,151,20.87185287475586
144,139,18.582592010498047
145,151,22.225177764892578
145,146,17.028406143188477
145,136,14.292750358581543
146,145,21.553091049194336
146,144,17.822933197021484
146,141,17.04123306274414
147,148,15.93552303314209
147,149,14.353445053100586
147,139,12.281956672668457
148,149,21.372085571289062
148,139,19.531211853027344
148,141,17.381010055541992
149,146,22.198829650878906
149,144,17.52280044555664
149,148,17.38929557800293
15,29,24.71286392211914
15,30,15.73776626586914
15,21,14.370258331298828
150,152,25.09379768371582
150,146,22.837995529174805
150,151,20.390087127685547
151,145,22.96047592163086
151,150,21.106006622314453
151,152,12.355598449707031
152,153,18.336748123168945
152,151,14.38576602935791
152,154,12.307005882263184
153,146,15.039238929748535
153,54,13.949902534484863
153,154,11.851212501525879
154,146,25.510778427124023
154,153,17.184656143188477
154,152,15.087803840637207
155,153,14.204829216003418
155,159,10.832196235656738
155,156,10.788640975952148
156,152,17.97978401184082
156,154,14.908306121826172
156,153,12.495135307312012
157,142,15.384809494018555
157,138,13.78721809387207
157,143,13.637887954711914
158,142,23.444316864013672
158,143,23.292390823364258
158,157,17.86421775817871
159,152,18.62769317626953
159,154,17.32911491394043
159,155,9.407816886901855
16,17,22.07876968383789
16,26,21.767681121826172
16,28,16.405899047851562
160,156,12.534563064575195
160,154,10.629204750061035
160,158,9.652710914611816
17,22,22.259614944458008
17,20,17.945417404174805
17,28,17.21470832824707
18,10,16.140228271484375
18,23,15.054947853088379
18,30,14.194190979003906
19,15,17.833559036254883
19,21,15.216322898864746
19,30,12.866852760314941
2,13,22.178665161132812
2,1,20.799442291259766
2,24,16.48052978515625
20,25,28.53166961669922
20,17,22.248241424560547
20,26,22.18013572692871
21,31,19.966550827026367
21,19,18.266088485717773
21,30,16.991350173950195
22,24,24.582895278930664
22,26,23.41715431213379
22,17,18.114965438842773
23,30,25.34248161315918
23,27,15.200425148010254
23,29,13.42591381072998
24,30,23.018573760986328
24,29,18.322689056396484
24,27,15.82638931274414
25,20,22.518709182739258
25,22,21.731971740722656
25,27,21.543344497680664
26,25,28.29596710205078
26,22,26.336957931518555
26,30,21.236770629882812
27,24,22.382226943969727
27,13,20.848310470581055
27,26,20.4970645904541
28,17,20.340534210205078
28,29,20.268604278564453
28,26,18.405672073364258
29,22,21.521961212158203
29,24,18.97325325012207
29,13,15.275032043457031
3,10,21.113365173339844
3,18,17.280332565307617
3,6,16.02505111694336
30,29,26.79830551147461
30,23,22.030115127563477
30,24,21.084741592407227
31,21,18.349857330322266
31,33,14.803133964538574
31,32,12.818384170532227
32,36,22.72207260131836
32,33,22.643943786621094
32,34,20.797544479370117
33,34,23.979646682739258
33,32,22.65204620361328
33,39,16.972179412841797
34,37,19.98699188232422
34,30,18.955116271972656
34,39,18.3767147064209
35,37,15.58377456665039
35,31,15.484231948852539
35,39,14.16797161102295
36,39,19.585111618041992
36,34,19.34206199645996
36,37,18.438854217529297
37,42,22.61707878112793
37,34,21.029064178466797
37,33,20.85021209716797
38,41,25.50345802307129
38,54,22.356111526489258
38,37,20.170246124267578
39,36,18.845888137817383
39,34,13.280489921569824
39,14,12.722002029418945
4,6,13.882431983947754
4,9,13.54404354095459
4,3,12.273370742797852
40,43,22.441545486450195
40,41,22.175960540771484
40,38,19.41629409790039
41,42,19.69403839111328
41,54,17.887714385986328
41,35,16.1351375579834
42,43,25.183517456054688
42,41,19.865724563598633
42,38,17.902252197265625
43,37,21.98701286315918
43,40,21.880550384521484
43,42,20.309228897094727
44,43,19.22538948059082
44,42,15.53681755065918
44,40,15.509692192077637
45,44,19.337587356567383
45,42,16.789274215698242
45,43,15.225634574890137
46,47,19.26401710510254
46,49,18.058488845825195
46,45,16.68128204345703
47,53,18.88946533203125
47,59,16.938220977783203
47,46,13.83218002319336
48,53,18.30312156677246
48,46,17.85429573059082
48,49,16.226499557495117
49,46,18.955886840820312
49,59,18.080890655517578
49,48,14.869843482971191
5,6,20.31461524963379
5,9,15.894634246826172
5,3,14.13333511352539
50,66,20.423032760620117
50,56,18.31345558166504
50,60,15.916271209716797
51,66,23.99950408935547
51,60,15.769794464111328
51,50,15.47446060180664
52,54,21.353734970092773
52,53,20.40860366821289
52,46,19.865999221801758
53,52,21.160451889038086
53,54,20.02606201171875
53,48,17.947124481201172
54,47,17.201217651367188
54,45,16.9947452545166
54,43,16.004886627197266
55,57,16.993600845336914
55,58,15.847546577453613
55,56,14.418004035949707
56,62,19.11334228515625
